event_ts_min,ts_min_bignt,room,timestamp,co2,light,temp,humidity,pir
2013-08-23 23:42:00,1377301320,419,1377301373.0,682.0,148.0,23.62,52.87,30.0
2013-08-23 23:42:00,1377301320,666,1377301353.0,486.5,132.5,23.724999999999998,50.504999999999995,0.0
2013-08-23 23:42:00,1377301320,717,1377301366.0,422.6666666666667,111.66666666666667,23.42,51.17666666666667,0.0
2013-08-23 23:42:00,1377301320,726,1377301345.0,466.1666666666667,3.5,24.496666666666666,48.19,0.0
2013-08-23 23:42:00,1377301320,748,1377301344.5,555.25,4.75,23.19,50.655,0.0
2013-08-23 23:43:00,1377301380,419,1377301393.0,674.0,148.0,23.63,52.87,30.0
2013-08-23 23:43:00,1377301380,666,1377301413.0,485.0,133.0,23.713333333333335,50.52333333333333,0.0
2013-08-23 23:43:00,1377301380,717,1377301414.0,435.2,112.0,23.422000000000004,51.158,0.0
2013-08-23 23:43:00,1377301380,726,1377301405.0,466.8333333333333,3.5,24.491666666666664,48.19,0.0
2013-08-23 23:43:00,1377301380,748,1377301407.0,548.5,5.5,23.197499999999998,50.6475,0.0
2013-08-23 23:44:00,1377301440,419,1377301463.0,671.5,149.0,23.64,52.855000000000004,29.5
2013-08-23 23:44:00,1377301440,666,1377301473.0,479.6666666666667,132.66666666666666,23.701666666666668,50.565,0.0
2013-08-23 23:44:00,1377301440,717,1377301471.0,443.5,112.66666666666667,23.423333333333336,51.17666666666667,0.0
2013-08-23 23:44:00,1377301440,726,1377301465.0,464.1666666666667,2.6666666666666665,24.483333333333334,48.19,0.0
2013-08-23 23:44:00,1377301440,748,1377301467.0,554.6666666666666,4.333333333333333,23.2,50.660000000000004,0.0
2013-08-23 23:45:00,1377301500,419,1377301528.0,688.0,150.0,23.64,52.84,23.0
2013-08-23 23:45:00,1377301500,666,1377301533.0,481.8333333333333,132.33333333333334,23.683333333333334,50.580000000000005,0.0
2013-08-23 23:45:00,1377301500,717,1377301531.0,438.6666666666667,113.33333333333333,23.42,51.156666666666666,0.0
2013-08-23 23:45:00,1377301500,726,1377301525.0,472.5,3.0,24.486666666666665,48.19,0.0
2013-08-23 23:45:00,1377301500,748,1377301524.0,558.4,5.0,23.196,50.67,0.0
2013-08-23 23:46:00,1377301560,666,1377301593.0,489.1666666666667,132.16666666666666,23.675,50.605,0.0
2013-08-23 23:46:00,1377301560,717,1377301591.0,437.5,112.83333333333333,23.421666666666667,51.156666666666666,0.0
2013-08-23 23:46:00,1377301560,726,1377301585.0,460.5,3.5,24.483333333333334,48.19499999999999,0.0
2013-08-23 23:46:00,1377301560,748,1377301587.0,554.0,4.833333333333333,23.19666666666667,50.660000000000004,0.0
2013-08-23 23:47:00,1377301620,419,1377301678.0,642.0,140.0,23.65,52.81,28.0
2013-08-23 23:47:00,1377301620,666,1377301653.0,476.3333333333333,131.33333333333334,23.655,50.605,0.0
2013-08-23 23:47:00,1377301620,717,1377301651.0,435.6666666666667,113.5,23.42833333333333,51.15,0.0
2013-08-23 23:47:00,1377301620,726,1377301645.0,458.5,3.3333333333333335,24.485,48.19,0.0
2013-08-23 23:47:00,1377301620,748,1377301644.0,549.4,4.0,23.196,50.672000000000004,0.0
2013-08-23 23:48:00,1377301680,419,1377301688.0,645.0,141.0,579.27,52.78,30.0
2013-08-23 23:48:00,1377301680,666,1377301713.0,469.8333333333333,131.33333333333334,23.646666666666665,50.620000000000005,0.0
2013-08-23 23:48:00,1377301680,717,1377301711.0,432.8333333333333,113.0,23.43166666666667,51.13999999999999,0.0
2013-08-23 23:48:00,1377301680,726,1377301705.0,465.6666666666667,3.5,24.481666666666666,48.19499999999999,0.0
2013-08-23 23:48:00,1377301680,748,1377301704.5,555.25,4.5,23.1925,50.6625,0.0
2013-08-23 23:49:00,1377301740,419,1377301783.0,613.0,140.0,23.66,52.75,30.0
2013-08-23 23:49:00,1377301740,666,1377301773.0,475.0,130.16666666666666,23.63,50.615,0.0
2013-08-23 23:49:00,1377301740,717,1377301771.0,425.6666666666667,113.0,23.438333333333333,51.135,0.0
